problem_id,title,domain,statement,status_basis,last_checked,tractability,compute_fit,verification_path,primary_source,notes
LIFE-F001,Optimal zero-padding thickness,formal/preimage,Find the exact minimal padding thickness in the image-extension implication,author-current,2026-08-23,medium-low,high,SAT proof/counterexample plus independent checker,https://villesalo.com/openproblems.html,Q28820954
LIFE-F002,Finite-support predecessor decidability,formal/computability,Is finite-support predecessor existence decidable for a finite-support target?,author-current,2026-08-23,low,medium,proof or reduction,https://villesalo.com/openproblems.html,Q52773486
LIFE-F003,Smallest periodic target with no periodic predecessor,formal/preimage,Minimise the fundamental domain of a periodic target with a predecessor but no periodic predecessor,author-current,2026-08-23,medium-low,high,SAT witness plus periodic UNSAT certificates,https://villesalo.com/openproblems.html,Q37342605; current explicit construction 6210x37800
LIFE-F004,Generic nilpotence,formal/dynamics,Is Life generically nilpotent?,author-current,2026-08-23,very low,low,topological-dynamics proof,https://villesalo.com/openproblems.html,Q99848042
LIFE-F005,Sensitivity to initial conditions,formal/dynamics,Is Life sensitive to initial conditions?,author-current,2026-08-23,very low,low,topological-dynamics proof,https://villesalo.com/openproblems.html,Q15988843
LIFE-F006,Finite-support density in p-periodic subshift,formal/dynamics,"For each p, are finite-support temporally p-periodic points dense?",author-current,2026-08-23,low,medium,constructive gluing theorem or counterexample,https://villesalo.com/openproblems.html,Q97141311(p)
LIFE-F007,Strong irreducibility of p-periodic subshift,formal/dynamics,"For each p, is the temporally p-periodic subshift strongly irreducible?",author-current,2026-08-23,low,medium,gluing proof or finite obstruction,https://villesalo.com/openproblems.html,Q36263295(p)
LIFE-F008,Still-life finitization,formal/fixed points,Are finite-support fixed points dense among all fixed points?,paper-open,2026-08-23,low,medium-high,completion theorem or explicit obstruction family,https://doi.org/10.1016/j.tcs.2025.115237,p=1 density case
LIFE-F009,Strong block-map universality,formal/universality,Is Life strongly universal as a one-step block map?,paper-open plus secondary 2026 audit,2026-08-23,very low,medium,bijective gadget system or explicit obstruction block map,https://doi.org/10.1016/j.tcs.2025.115237,Semiweak universality proved
LIFE-F010,Backward computation for higher powers,formal/universality,Extend one-step predecessor universality to fixed higher powers,paper-open,2026-08-23,very low,medium-high,multi-layer gadgets and proof,https://arxiv.org/abs/2308.10198,Question 3
LIFE-F011,Universal backward predecessor chains,formal/universality,Find configurations whose every predecessor chain computes universally backwards,paper-open,2026-08-23,very low,medium,forcing construction and proof,https://arxiv.org/abs/2308.10198,Question 4
LIFE-C001,Four-row live-cell Garden of Eden,community/preimage,Does a GoE exist with live cells confined to four consecutive rows?,community-current,2026-08-23,medium,high,candidate replay or complete transfer/SAT proof,https://conwaylife.com/wiki/Garden_of_Eden,Distinguish from the four-row orphan theorem
LIFE-C002,Unknown spaceship speeds,community/spaceship,Find ships at currently unknown speed examples,community-dynamic,2026-08-23,medium,very high,independent RLE replay and status-page check,https://conwaylife.com/wiki/Tutorials/ikpx2,"Examples listed: (2,1)c/7, c/8, 3c/8, c/9 diagonal"
LIFE-C003,Smaller unsynthesizable still life,community/synthesis,Reduce the 154-cell example or raise the lower bound above 22,community-dynamic,2026-08-23,medium,high,self-forcing certificate and synthesis analysis,https://conwaylife.com/wiki/Glider_synthesis,Current threshold 22 < p <= 154
LIFE-C004,Glider-proof/invulnerable targets,community/collision,Resolve one of the glider-destruction questions,needs-recheck,2026-08-23,unknown,high,complete collision-space proof or construction,https://conwaylife.com/wiki/Glider_destruction,Source list dated September 2023
LIFE-C005,Spaceship census/minimality gap,community/spaceship,Fill a current status-table gap or prove a minimum,community-dynamic,2026-08-23,medium,very high,complete search and independent checker,https://conwaylife.com/wiki/LifeWiki:Spaceship_Search_Status_Page,Select a target only after a forum audit
LIFE-S001,Cross-engine benchmark,systems/reproducibility,Create a maintained common benchmark across workload classes,research-gap,2026-08-23,high,very high,"raw runs, digests and independent reproduction",https://github.com/das67333/gol_engines,No maintained standard leaderboard found
LIFE-S002,Adaptive hybrid simulator,systems/algorithms,"Dispatch among HashLife, sparse tiles and dense GPU by local structure",research-hypothesis,2026-08-23,medium,very high,crossover study and end-to-end implementation,https://golly.sourceforge.io/Help/Algorithms/HashLife.html,Not a community-certified open problem
