engine_id,name,algorithm,best_workload,accelerator,topology,rule_scope,evidence,caveat,source
GOLLY-HASHLIFE,Golly 5.0 HashLife,HashLife,long regular/compressible,CPU,unbounded/bounded,Life-like and more,mature official,CUPS is not meaningful; chaotic-pattern weakness,https://golly.sourceforge.io/Help/Algorithms/HashLife.html
GOLLY-QUICKLIFE,Golly 5.0 QuickLife,conventional non-hashing,ordinary or chaotic interactive,CPU,bounded/unbounded,outer-totalistic,mature official,not a generation-skipping engine,https://golly.sourceforge.io/Help/Algorithms/QuickLife.html
LIFELIB-HASHLIFE,lifelib pattern/lifetree,generated leaf kernels plus HashLife,long regular/compressible,CPU x86-64,unbounded,many CA rules,mature library,lifetree does not itself provide a multicore scheduler,https://conwaylife.com/wiki/Lifelib
LIFELIB-STREAMLIFE,lifelib StreamLife,directional two-universe HashLife,antiparallel glider/xWSS streams,CPU x86-64,unbounded,Life-like,mature specialised,usually slower on ordinary patterns,https://conwaylife.com/wiki/StreamLife
LIFELIB-TILE,lifelib upattern,overlapping active tiles,random soups/sparse churn,CPU x86-64,unbounded/torus,many CA rules,mature library,no recursive space-time compression,https://conwaylife.com/wiki/Lifelib
GOLENG-HASH-ASYNC,gol_engines async HashLife,parallel recursive HashLife,large decomposable recursive patterns,multicore CPU,unbounded/torus,B3/S23 only,promising self-benchmark,small project; independent reproduction required,https://github.com/das67333/gol_engines
GOLENG-STREAM-ASYNC,gol_engines async StreamLife,parallel StreamLife,large stream/metacell patterns,multicore CPU,unbounded/torus,B3/S23 only,promising self-benchmark,specialised and independent reproduction required,https://github.com/das67333/gol_engines
BB-CUDA,Binary Banter CUDA,bit-packed temporal blocking plus LOP3 and shuffles,dense bounded radius-1,NVIDIA CUDA,bounded grid,B3/S23,open-source self-benchmark,2023 benchmark; no sparse/unbounded/out-of-core mode,https://github.com/binary-banter/fast-game-of-life
BB-OPENCL,Binary Banter OpenCL,bit-packed temporal blocking,dense bounded radius-1,OpenCL GPU,bounded grid,B3/S23,open-source self-benchmark,"vendor/runtime variability; upstream multi-step boundary leak fixed by local patch (adapters/bb-opencl/patches/0002), see 2026-08-24 research log",https://github.com/binary-banter/fast-game-of-life
CAT-PACK,CAT PACK,packet-coded CUDA,dense bounded low-radius,NVIDIA CUDA,periodic bounded grid,Larger-than-Life family,peer-reviewed comparator,not a HashLife engine,https://github.com/temporal-hpc/CAT
CAT-TENSOR,CAT tensor-core solver,matrix accumulation on tensor cores,large-neighbourhood CA,NVIDIA tensor cores,periodic bounded grid,weighted-sum CA/LTL,peer reviewed,standard radius-1 loses to the fastest packet approach in the study,https://arxiv.org/abs/2406.17284
APGSEARCH-CUDA,apgsearch GPU pipeline,CUDA interestingness screen plus CPU census,random soup census,CUDA plus CPU,small soups,outer-totalistic and variants,community production,"measure end-to-end soups/s, not kernel CUPS",https://conwaylife.com/wiki/Apgsearch
CAX-JAX,CAX,JAX/XLA,batched/general/differentiable CA,CPU/GPU/TPU,bounded arrays,general CA,peer-reviewed general library,not established as a pure-Life record simulator,https://arxiv.org/abs/2410.02651
